Id,Date,TotalSteps,TotalDistance,HighIntensityMinutes,ModerateIntensityMinutes  ,LowIntensityMinutes  ,RestMinutes  ,Calories
1503960366,4/12/16,13162,8.5,25,13,328,728,1985
1503960366,4/13/16,10735,7,21,19,217,776,1797
1503960366,4/14/16,10460,6.7,30,11,181,1218,1776
1503960366,4/15/16,9762,6.3,29,34,209,726,1745
1503960366,4/16/16,12669,8.2,36,10,221,773,1863
1503960366,4/17/16,9705,6.5,38,20,164,539,1728
1503960366,4/18/16,13019,8.6,42,16,233,1149,1921
1503960366,4/19/16,15506,9.9,50,31,264,775,2035
1503960366,4/20/16,10544,6.7,28,12,205,818,1786
1503960366,4/21/16,9819,6.3,19,8,211,838,1775
1503960366,4/22/16,12764,8.1,66,27,130,1217,1827
1503960366,4/23/16,14371,9,41,21,262,732,1949
1503960366,4/24/16,10039,6.4,39,5,238,709,1788
1503960366,4/25/16,15355,9.8,73,14,216,814,2013
1503960366,4/26/16,13755,8.8,31,23,279,833,1970
1503960366,4/27/16,18134,12.2,78,11,243,1108,2159
1503960366,4/28/16,13154,8.5,48,28,189,782,1898
1503960366,4/29/16,11181,7.2,16,12,243,815,1837
1503960366,4/30/16,14673,9.3,52,34,217,712,1947
1503960366,5/1/16,10602,6.8,33,35,246,730,1820
1503960366,5/2/16,14727,9.7,41,15,277,798,2004
1503960366,5/3/16,15103,9.7,50,24,254,816,1990
1503960366,5/4/16,11100,7.2,36,22,203,1179,1819
1503960366,5/5/16,14070,8.9,45,24,250,857,1959
1503960366,5/6/16,12159,8,24,6,289,754,1896
1503960366,5/7/16,11992,7.7,37,46,175,833,1821
1503960366,5/8/16,10060,6.6,44,8,203,574,1740
1503960366,5/9/16,12022,7.7,46,11,206,835,1819
1503960366,5/10/16,12207,7.8,46,31,214,746,1859
1503960366,5/11/16,12770,8.1,36,23,251,669,1783
1503960366,5/12/16,0,0,0,0,0,1440,0
1624580081,4/12/16,8163,5.3,0,0,146,1294,1432
1624580081,4/13/16,7007,4.6,0,0,148,1292,1411
1624580081,4/14/16,9107,5.9,0,0,236,1204,1572
1624580081,4/15/16,1510,1,0,0,96,1344,1344
1624580081,4/16/16,5370,3.5,0,0,176,1264,1463
1624580081,4/17/16,6175,4.1,15,22,127,1276,1554
1624580081,4/18/16,10536,7.4,17,7,202,1214,1604
1624580081,4/19/16,2916,1.9,0,0,141,1299,1435
1624580081,4/20/16,4974,3.2,0,0,151,1289,1446
1624580081,4/21/16,6349,4.1,0,0,186,1254,1467
1624580081,4/22/16,4026,2.6,0,0,199,1241,1470
1624580081,4/23/16,8538,5.6,0,0,227,1213,1562
1624580081,4/24/16,6076,4,16,18,185,1221,1617
1624580081,4/25/16,6497,4.2,0,0,202,1238,1492
1624580081,4/26/16,2826,1.8,0,0,140,1300,1402
1624580081,4/27/16,8367,5.4,17,36,154,1233,1670
1624580081,4/28/16,2759,1.8,0,5,115,1320,1401
1624580081,4/29/16,2390,1.5,0,0,150,1290,1404
1624580081,4/30/16,6474,4.3,11,23,224,1182,1655
1624580081,5/1/16,36019,28,186,63,171,1020,2690
1624580081,5/2/16,7155,4.9,7,6,166,1261,1497
1624580081,5/3/16,2100,1.4,0,0,96,1344,1334
1624580081,5/4/16,2193,1.4,0,0,118,1322,1368
1624580081,5/5/16,2470,1.6,0,0,117,1323,1370
1624580081,5/6/16,1727,1.1,0,0,102,1338,1341
1624580081,5/7/16,2104,1.4,0,0,182,1258,1474
1624580081,5/8/16,3427,2.2,0,0,152,1288,1427
1624580081,5/9/16,1732,1.1,0,0,91,1349,1328
1624580081,5/10/16,2969,1.9,0,0,139,1301,1393
1624580081,5/11/16,3134,2,0,0,112,1328,1359
1624580081,5/12/16,2971,1.9,0,0,107,890,1002
1644430081,4/12/16,10694,7.8,2,51,256,1131,3199
1644430081,4/13/16,8001,5.8,30,16,135,1259,2902
1644430081,4/14/16,11037,8,5,58,252,1125,3226
1644430081,4/15/16,5263,3.8,3,4,170,1263,2750
1644430081,4/16/16,15300,11.1,51,42,212,1135,3493
